PointPillarsNet created
2026-03-06 11:18:24 epoch:0, iter:0, loss:21.4267, fps:0.29 imgs/sec
2026-03-06 11:21:02 epoch:0, iter:50, loss:4.0059, fps:0.63 imgs/sec
2026-03-06 11:23:42 epoch:0, iter:100, loss:2.7582, fps:0.62 imgs/sec
2026-03-06 11:26:24 epoch:0, iter:150, loss:2.3372, fps:0.62 imgs/sec
2026-03-06 11:29:03 epoch:0, iter:200, loss:2.4272, fps:0.63 imgs/sec
2026-03-06 11:31:50 epoch:0, iter:250, loss:2.5857, fps:0.6 imgs/sec
2026-03-06 11:34:34 epoch:0, iter:300, loss:2.2894, fps:0.61 imgs/sec
2026-03-06 11:37:25 epoch:0, iter:350, loss:2.1447, fps:0.59 imgs/sec
2026-03-06 11:40:14 epoch:0, iter:400, loss:2.0286, fps:0.59 imgs/sec
2026-03-06 11:43:07 epoch:0, iter:450, loss:2.2247, fps:0.58 imgs/sec
2026-03-06 11:45:56 epoch:0, iter:500, loss:2.2935, fps:0.59 imgs/sec
2026-03-06 11:48:46 epoch:0, iter:550, loss:1.9390, fps:0.59 imgs/sec
2026-03-06 11:51:28 epoch:0, iter:600, loss:1.9421, fps:0.62 imgs/sec
2026-03-06 11:54:16 epoch:0, iter:650, loss:2.4034, fps:0.6 imgs/sec
2026-03-06 11:57:03 epoch:0, iter:700, loss:2.6720, fps:0.6 imgs/sec
2026-03-06 11:59:48 epoch:0, iter:750, loss:1.8292, fps:0.61 imgs/sec
2026-03-06 12:02:31 epoch:0, iter:800, loss:2.3147, fps:0.61 imgs/sec
2026-03-06 12:05:15 epoch:0, iter:850, loss:2.4148, fps:0.61 imgs/sec
2026-03-06 12:08:00 epoch:0, iter:900, loss:1.9181, fps:0.61 imgs/sec
2026-03-06 12:10:45 epoch:0, iter:950, loss:2.2660, fps:0.61 imgs/sec
2026-03-06 12:13:33 epoch:0, iter:1000, loss:2.0686, fps:0.59 imgs/sec
2026-03-06 12:16:20 epoch:0, iter:1050, loss:2.3713, fps:0.6 imgs/sec
2026-03-06 12:19:05 epoch:0, iter:1100, loss:2.2170, fps:0.61 imgs/sec
2026-03-06 12:21:53 epoch:0, iter:1150, loss:2.2367, fps:0.59 imgs/sec
2026-03-06 12:25:07 epoch:0, iter:1200, loss:2.3067, fps:0.52 imgs/sec
2026-03-06 12:28:00 epoch:0, iter:1250, loss:1.9553, fps:0.58 imgs/sec
2026-03-06 12:30:52 epoch:0, iter:1300, loss:2.0142, fps:0.58 imgs/sec
2026-03-06 12:33:40 epoch:0, iter:1350, loss:2.0426, fps:0.59 imgs/sec
